Node,Code,Month,Group
Hunts Point,Places ,September,TTh
Hunts Point,Places ,December,TTh
Hunts point,Places ,December,TTh
Long Island Sound,Places ,December,MW
NYC,Places ,December,MW
NYC,Places ,December,MW
People,Places ,September,TTh
Places,Places ,December,MW
Places,Places ,December,MW
Places,Places ,December,MW
Places,Places ,December,MW
Places,Places ,December,MW
Places,Places ,December,TTh
Places,Places ,December,TTh
Places,Places ,December,TTh
Places,Places ,December,TTh
Soundview,Places ,December,TTh
Soundview,Places ,September,TTh
Soundview,Places ,December,TTh
Bronx,Places ,December,TTh
Alternate,Plants,December,TTh
Branch,Plants,September,TTh
Deciduous,Plants,December,TTh
Evergreen,Plants,December,TTh
Opposite,Plants,December,TTh
Photosynthesis,Plants,December,TTh
Phragmites,Plants,December,TTh
Planting trees,Plants,December,TTh
Plants,Plants,September,TTh
Plants,Plants,December,TTh
Plants,Plants,December,TTh
Plants,Plants,December,TTh
Plants,Plants,December,MW
Plants,Plants,December,TTh
Removing invasives,Plants,December,TTh
Seaweed,Plants,September,TTh
Trees,Plants,September,TTh
Trees,Plants,September,TTh
Bottles,Pollution,September,TTh
CSO,Pollution,December,MW
Dirty,Pollution,September,TTh
Garbage,Pollution,September,MW
Nasty,Pollution,December,MW
Plastic bags,Pollution,September,TTh
Pollution,Pollution,December,MW
Pollution,Pollution,December,MW
Pollution,Pollution,December,MW
Pollution,Pollution,December,MW
Pollution,Pollution,December,TTh
Random things,Pollution,September,TTh
Random things,Pollution,September,TTh
Random things,Pollution,September,TTh
Shoes,Pollution,September,TTh
Socks,Pollution,September,TTh
Trash,Pollution,September,TTh
Trash,Pollution,September,TTh
Trash,Pollution,September,TTh
Uggs,Pollution,December,TTh
Uggs,Pollution,December,TTh
Boat,River characteristics,December,TTh
Bronx River,River characteristics,December,TTh
Bronx River,River characteristics,December,TTh
Dirt,River characteristics,December,TTh
Dock,River characteristics,December,TTh
Docks,River characteristics,September,TTh
High,River characteristics,December,TTh
High tide,River characteristics,September,TTh
Low,River characteristics,December,TTh
Low tide,River characteristics,September,MW
Low tide,River characteristics,September,MW
Low tide,River characteristics,September,MW
Low tide,River characteristics,September,MW
Low tide,River characteristics,December,TTh
Low tide,River characteristics,December,TTh
Low tide,River characteristics,December,TTh
Low tide,River characteristics,September,TTh
Mud,River characteristics,September,TTh
Mud,River characteristics,September,TTh
Mud,River characteristics,September,MW
Mud,River characteristics,September,TTh
Mudflat,River characteristics,September,TTh
Mudflats,River characteristics,December,TTh
Mudlats,River characteristics,December,TTh
Parts,River characteristics,September,TTh
Parts,River characteristics,September,TTh
Plants,River characteristics,September,TTh
Rocks,River characteristics,September,TTh
Things in the river,River characteristics,December,MW
Things in the river,River characteristics,December,MW
Things in the river,River characteristics,December,MW
Things in the river,River characteristics,December,TTh
Things in the river,River characteristics,December,TTh
Things in the river,River characteristics,December,TTh
Things in the river,River characteristics,December,TTh
Things in the river,River characteristics,December,TTh
Things in the river,River characteristics,December,TTh
Tides,River characteristics,December,TTh
Tides,River characteristics,December,TTh
Tides,River characteristics,December,TTh
Water,River characteristics,September,TTh
Water,River characteristics,September,TTh
Water,River characteristics,December,MW
Waves,River characteristics,December,MW
,River characteristics,September,TTh
,River characteristics,September,TTh
ESP,RTB,December,TTh
ESP,RTB,December,TTh
Knots,RTB,December,TTh
People,RTB,December,MW
RTB,RTB,December,MW
RTB,RTB,December,TTh
RTB,RTB,December,TTh
RTB,RTB,December,TTh
RTB,RTB,December,MW
RTB,RTB,September,TTh
RTB,RTB,December,TTh
Boat Bag,Safety,December,TTh
PFDs,Safety,December,TTh
Safety,Safety,December,TTh
Safety,Safety,December,TTh
Safety,Safety,December,TTh
Hyde HS,School,September,MW
Hyde HS,School,September,MW
Hyde HS,School,September,MW
Hyde HS,School,September,MW
Schools,School,December,MW
Find yourself,Self-discovery,December,MW
Learn about your place,Self-discovery,December,MW
People,Self-discovery,December,MW
People,Self-discovery,December,MW
Bowline,Skills,December,TTh
ESP,Skills,December,TTh
Experience,Skills,September,MW
Info,Skills,September,MW
Job Skills,Skills,December,TTh
Knots,Skills,December,TTh
LNT,Skills,December,TTh
Technical Skills,Skills,December,TTh
Technical Skills,Skills,December,TTh
Technical Skills,Skills,December,TTh
Technical Skills,Skills,December,TTh
Water Quality,Skills,December,TTh
Work,Skills,September,MW
BEC,Unknown,December,TTh
SM,Unknown,December,TTh
Water,Water,September,TTh
Water,Water,September,TTh
Dissolved Oxygen,Water Quality,December,TTh
Nitrates,Water Quality,December,TTh
pH,Water Quality,December,TTh
Salinity,Water Quality,December,TTh
Turbidity,Water Quality,December,TTh
,,September,TTh
