Edge,Target,Month,Group,
Health,Asthma,December,MW,
Health,Pollution,December,MW,
Pollution,CSO,December,MW,
Bronx River,Things in the river,December,MW,
Things in the river,Nasty,December,MW,
Bronx River,Activities,December,MW,
Activities,Turkey chases,December,MW,
Activities,Hiking,December,MW,
Activities,Weeklong,December,MW,
Pollution,Animals,December,MW,
Pollution,Plants,December,MW,
Bronx River,Places,December,MW,
Places,Hunts point,December,MW,
Places,Long Island Sound,December,MW,
Places,NYC,December,MW,
Places,Frost Valley,December,MW,
Places,Atlantic Ocean,December,MW,
Activities,Birdwatching,December,MW,
Activities,Cleaning the water,December,MW,
Activities,Rowing,December,MW,
Birdwatching,Yellow night heron,December,MW,
Things in the river,Water,December,MW,
Things in the river,Waves,December,MW,
Bronx River,Activities,December,TTh,
Bronx River,Animals,December,TTh,
Bronx River,Bronx,December,TTh,
Bronx River,Places,December,TTh,
Bronx River,Preservation,December,TTh,
Bronx River,Safety,December,TTh,
Bronx River,Technical Skills,December,TTh,
Bronx River,Things in the river,December,TTh,
Bronx River,Tides,December,TTh,
Activities,Basketball,December,TTh,
Activities,Fishing,December,TTh,
Activities,Fun,December,TTh,
Activities,Games,December,TTh,
Activities,Rowing,December,TTh,
Activities,Science,December,TTh,
Activities,Swimming,December,TTh,
Activities,Teaching_Learning,December,TTh,
Activities,Water quality,December,TTh,
Swimming,YMCA,December,TTh,
YMCA,Coach Will,December,TTh,
Water quality,Dissolved Oxygen,December,TTh,
Water quality,Nitrates,December,TTh,
Water quality,pH,December,TTh,
Water quality,Salinity,December,TTh,
Water quality,Turbidity,December,TTh,
Animals,Birds,December,TTh,
Animals,Fish,December,TTh,
Birds,Cormorants,December,TTh,
Birds,Ducks,December,TTh,
Birds,Egrets,December,TTh,
Bronx,BEC,December,TTh,
Bronx,Chopped cheese,December,TTh,
Bronx,Hunts Point,December,TTh,
Bronx,RTB,December,TTh,
Bronx,SM,December,TTh,
Bronx,Grant,December,TTh,
RTB,Family,December,TTh,
RTB,No purple or dark colors,December,TTh,
RTB,Weeklong,December,TTh,
Family,People,December,TTh,
People,Staff,December,TTh,
People,Friends,December,TTh,
People,Student,December,TTh,
Staff,Learning,December,TTh,
Staff,Teaching,December,TTh,
Weeklong,Overnight,December,TTh,
Overnight,Dice,December,TTh,
Overnight,Games,December,TTh,
Overnight,Lion King,December,TTh,
Dice,Student beat Student,December,TTh,
Places,Hunts point,December,TTh,
Places,Soundview,December,TTh,
Places,YMCA,December,TTh,
Soundview,Phragmites,December,TTh,
YMCA,Coach Will,December,TTh,
Preservation,Oysters,December,TTh,
Preservation,Planting trees,December,TTh,
Preservation,Plants,December,TTh,
Preservation,Removing invasives,December,TTh,
Planting trees,Deciduous,December,TTh,
Planting trees,Evergreen,December,TTh,
Plants,Opposite,December,TTh,
Plants,Alternate,December,TTh,
Plants,Photosynthesis,December,TTh,
Safety,Boat Bag,December,TTh,
Safety,PFDs,December,TTh,
Technical Skills,Job Skills,December,TTh,
Technical Skills,ESP,December,TTh,
Technical Skills,Water Quality,December,TTh,
ESP,LNT,December,TTh,
ESP,Knots,December,TTh,
Knots,Bowline,December,TTh,
Things in the river,Dock,December,TTh,
Things in the river,Dirt,December,TTh,
Things in the river,Boat,December,TTh,
Things in the river,Mudlats,December,TTh,
Things in the river,Pollution,December,TTh,
Mudflats,Uggs,December,TTh,
Boat,Oars,December,TTh,
Boat,Bowline,December,TTh,
Tides,High,December,TTh,
Tides,Low ,December,TTh,
Low,Stuck,December,TTh,
Low,Staff Member,December,TTh,
Low,Uggs,December,TTh,
