Id,Student,Source
406,5MW,Dirty
407,5MW,Cleaning
408,5MW,Avoiding
409,5MW,My mom
410,5MW,Community
411,5MW,New friends
412,5MW,Photos
413,5MW,Cameras
414,5MW,Fish
415,5MW,Vegan
416,5MW,Meat
417,5MW,Food
418,5MW,I'm always hungry
419,5MW,Money
420,5MW,Job
421,5MW,Saving
422,5MW,RTB
423,5MW,Afterschool
424,5MW,School
425,5MW,Depression & Stress
426,5MW,Solutions
427,5MW,Concluding
428,5MW,Environmental
429,5MW,Rowing
430,5MW,Hands hurt
431,5MW,Getting wet
432,5MW,Smells
433,5MW,Crotona
434,5MW,Antics
435,5MW,Music
436,5MW,Soundview
437,5MW,Hunts Point
438,5MW,Bronx
439,5MW,Projects
440,5MW,Ew
441,5MW,Starlight Park
442,5MW,Bronx Zoo
443,5MW,Sad animals
444,5MW,Walking
445,5MW,Birds
446,5MW,I'm a bird
447,5MW,Animals
448,4MW,Hunts Point
449,4MW,RTB
450,4MW,Soundview
451,4MW,Dirty
452,4MW,Bronx Zoo
453,4MW,Linzy Cried
454,4MW,I got to captain
455,4MW,Long Island Sound
456,4MW,Atlantic Ocean
457,4MW,Bronx
458,4MW,NYC
459,4MW,New York
460,4MW,United States
461,6MW,Hunts Point
462,6MW,Chopped cheese
463,6MW,Basketball
464,6MW,Funny
465,6MW,People outside
466,6MW,Water
467,6MW,Boats
468,6MW,Fish
469,6MW,Blue-Crab
470,6MW,RTB
471,6MW,Friends
472,7MW,Sludgy waters
473,7MW,Pollution
474,7MW,Forgotten species
475,7MW,Marine wildlife
476,1MW,Cleaning
477,1MW,trash pickup
478,1MW,wetland boxes
479,1MW,Water quality
480,1MW,Birds
481,1MW,Swans
482,1MW,Great blue
483,1MW,Yellow night herons
484,1MW,Fishing
485,1MW,Shrimp
486,1MW,Eels
487,1MW,Sea horses
488,1MW,Blue crab
489,1MW,Plantains
490,1MW,Trips
491,1MW,Meeting wildlife
492,1MW,Frost Valley
493,1MW,Camping
494,1MW,Weeklong
495,1MW,Bear
496,1MW,Hiking
497,1MW,Falling
498,1MW,Climbing
499,1MW,Looking at different trees
500,3MW,Rowing
501,3MW,Trips
502,3MW,Hiking
503,3MW,Music
504,3MW,Food
505,3MW,Sleepover
506,3MW,Birds
507,3MW,Plants
508,3MW,Water quality
509,3MW,Performance levels
510,3MW,[]
511,3MW,Friends
512,3MW,Bonds
513,3MW,Family
514,3MW,Friends
515,3MW,Emotions
516,3MW,Feelings/mood
517,3MW,Games
518,8MW,Rowing
519,8MW,Crying
520,8MW,Trips
521,8MW,RTB
522,8MW,The River
523,8MW,Birds
524,8MW,Mouctar getting on my nerves
525,9TTh,Family
526,9TTh,Water quality
527,9TTh,Birding
528,9TTh,Fishing
529,9TTh,Rowing
530,9TTh,PA1
531,9TTh,PA2
532,9TTh,PA3
533,9TTh,PA4
534,9TTh,SummerStudent1
535,9TTh,SummerStudent2
536,9TTh,SummerStudent3
537,9TTh,SummerStudent4
538,9TTh,SummerStudent5
539,9TTh,SummerStudent6
540,9TTh,SummerStudent7
541,9TTh,SummerStudent8
542,9TTh,Mallard
543,9TTh,Canada goose
544,9TTh,Great egret
545,9TTh,Snowy egret
546,9TTh,Black crowned night heron
547,9TTh,Yellow night herons
548,9TTh,Shiners
549,9TTh,Crabs
550,9TTh,Jellyfish
551,9TTh,Captain
552,9TTh,Pace
553,9TTh,Power
554,9TTh,Boat cleaning (not fun)
555,9TTh,Tide
556,9TTh,High tide
557,9TTh,Low tide
558,9TTh,Muddy
559,9TTh,Turbidity
560,9TTh,Nitrates
561,9TTh,Dissolved Oxygen
562,9TTh,Salinity
563,9TTh,Temperature
564,9TTh,pH
565,10TTh,Animals
566,10TTh,Water
567,10TTh,Trash
568,10TTh,Plants
569,10TTh,Shrimp
570,10TTh,Fish
571,10TTh,Crabs
572,10TTh,Birds
573,10TTh,Bottles
574,10TTh,Paper
575,10TTh,Plastic bags
576,10TTh,Clothes
577,10TTh,Shoes
578,10TTh,Socks
579,10TTh,Seaweed
580,10TTh,Trees
581,10TTh,High tide
582,10TTh,Low tide
583,11Tth,Boats
584,11Tth,Do people enjoy the bronx River?
585,11Tth,How long has it been around?
586,11Tth,Community
587,11Tth,Not sanitized
588,11Tth,Plants
589,11Tth,Animals
590,11Tth,Birds
591,11Tth,Fishes
592,11Tth,Do people outside the Bronx know about it?
593,12TTh,Birds
594,12TTh,Water
595,12TTh,Plants
596,12TTh,Big Space
597,12TTh,People
598,12TTh,Park
599,12TTh,Low tide
600,12TTh,High tide
601,12TTh,Fishes
602,12TTh,Boats
603,12TTh,Crabs
604,12TTh,Kayaking
605,12TTh,Flowers
606,12TTh,Sun
607,12TTh,Trees
608,12TTh,Ghetto
609,12TTh,Dirty
610,13TTh,People
611,13TTh,Water
612,13TTh,Boats
613,13TTh,Dirty
614,13TTh,Crabs
615,13TTh,Birds
616,13TTh,Fish
617,13TTh,Random things
618,13TTh,Beautiful landscape
619,14TTh,Animals
620,14TTh,Rocks
621,14TTh,Water quality
622,14TTh,Dock
623,14TTh,Mudflat
624,14TTh,Birds
625,14TTh,Crabs
626,14TTh,Fish
627,15TTh,Mud
628,15TTh,Crabs
629,15TTh,Plants
630,15TTh,Fish
631,15TTh,My shoes getting dirty
