Edge,Target,Month,Group,StudentID,StudentStatus,QualitativeCode,QualitativeCode2,Valence,,,,,,,,
Water,Creatures dying out,September,MW,4MW,New,Water,Bronx river animals,Positive,,,,,,,,
Bronx River,Views,September,MW,5MW,New,Nice sites,,Positive,,,,,,,,
Views ,Music,September,MW,5MW,New,Nice sites,Music,,,,,,,,,
Music,In my bag,September,MW,5MW,New,Music,,,,,,,,,,
In my bag,Happens all the time,September,MW,5MW,New,Stream of consciousness,,,,,,,,,,
Bronx River,Dead bodies,September,MW,5MW,New,Death,,Negative,,,,,,,,
Dead bodies,Dangerous,September,MW,5MW,New,Death,Danger,Negative,,,,,,,,
Dangerous,Leaving Bronx,September,MW,5MW,New,Danger,Want to leave,,,,,,,,,
Leaving Bronx,College?,September,MW,5MW,New,Want to leave,How to leave,,,,,,,,,
College?,Peace Corps,September,MW,5MW,New,How to leave,,,,,,,,,,
Bronx River,Dirty,September,MW,5MW,New,Dirty,,Negative,,,,,,,,
Dirty,Cleaning,September,MW,5MW,New,Dirty,Cleaning,,,,,,,,,
Cleaning,Avoiding,September,MW,5MW,New,Stream of consciousness,,,,,,,,,,
Avoiding,My mom,September,MW,5MW,New,Family,,,,,,,,,,
Bronx River,Community,September,MW,5MW,New,Community,,Positive,,,,,,,,
Community,New friends,September,MW,5MW,New,Community,New friends,Positive,,,,,,,,
Community,Photos,September,MW,5MW,New,Activities,,,,,,,,,,
Photos,Cameras,September,MW,5MW,New,Activities,,,,,,,,,,
Bronx River,Fish,September,MW,5MW,New,Bronx River animals,,,,,,,,,,
Fishing,Vegan,September,MW,5MW,New,Activities,,,,,,,,,,
Vegan,Meat,September,MW,5MW,New,Food,,,,,,,,,,
Meat,Food,September,MW,5MW,New,Food,,,,,,,,,,
Food,I'm always hungry,September,MW,5MW,New,Hunger,,,,,,,,,,
I'm always hungry,Money,September,MW,5MW,New,Poverty,,,,,,,,,,
Money,Job,September,MW,5MW,New,Money,,,,,,,,,,
Money,Saving,September,MW,5MW,New,Money,,,,,,,,,,
Bronx River,RTB,September,MW,5MW,New,Institutions,,,,,,,,,,
RTB,Afterschool,September,MW,5MW,New,Institutions,After school,,,,,,,,,
Afterschool,School,September,MW,5MW,New,Institutions,,,,,,,,,,
School,Depression & Stress,September,MW,5MW,New,School,Negative emotions,,,,,,,,,
Depression & Stress,Solutions,September,MW,5MW,New,Negative emotions,Solutions,,,,,,,,,
Solutions,Concluding,September,MW,5MW,New,Stream of consciousness,,,,,,,,,,
RTB,Environmental,September,MW,5MW,New,RTB,ESP,,,,,,,,,
Environmental,Rowing,September,MW,5MW,New,ESP,Boats,,,,,,,,,
Rowing,Hands hurt,September,MW,5MW,New,Boats,Hands hurt,Blend,,,,,,,,
Hands hurt,Getting wet,September,MW,5MW,New,Physical experience,,Blend,,,,,,,,
Getting wet,Smells,September,MW,5MW,New,Physical experience,,Negative,,,,,,,,
Bronx River,Crotona,September,MW,5MW,New,Places you can go,,,,,,,,,,
Crotona,Antics,September,MW,5MW,New,Places you can go,Fun,Positive,,,,,,,,
Antics,Music,September,MW,5MW,New,Music,,,,,,,,,,
Bronx River,Soundview,September,MW,5MW,New,Places you can go,,,,,,,,,,
Soundview,Hunts Point,September,MW,5MW,New,Places you can go,,,,,,,,,,
Soundview,Bronx,September,MW,5MW,New,Places you can go,,,,,,,,,,
Hunts Point,Projects,September,MW,5MW,New,Ghetto,,,,,,,,,,
Projects,Ew,September,MW,5MW,New,Ghetto,,Negative,,,,,,,,
Projects,Starlight Park,September,MW,5MW,New,Places you can go,,Negative,,,,,,,,
Soundview,Bronx Zoo,September,MW,5MW,New,Places you can go,,Negative,,,,,,,,
Bronx Zoo,Sad animals,September,MW,5MW,New,Places you can go,,Negative,,,,,,,,
Sad animals,Walking,September,MW,5MW,New,Animals,,,,,,,,,,
RTB,Birds,September,MW,5MW,New,Animals,,,,,,,,,,
Birds,I'm a bird,September,MW,5MW,New,Animals,,,,,,,,,,
I'm a bird,Animals,September,MW,5MW,New,Animals,,,,,,,,,,
Bronx River,Hunts Point,December,MW,4MW,New,Places you can go,,,,,,,,,,
Hunts Point,RTB,December,MW,4MW,New,Places you can go,,,,,,,,,,
Bronx River,Soundview,December,MW,4MW,New,Places you can go,,,,,,,,,,
Soundview,Dirty,December,MW,4MW,New,Places you can go,Dirty,Negative,,,,,,,,
Bronx River,Bronx Zoo,December,MW,4MW,New,Places you can go,,,,,,,,,,
Bronx River,Linzy Cried,December,MW,4MW,New,Teasing student,,,,,,,,,,
Bronx River,I got to captain,December,MW,4MW,New,Skills,,Positive,,,,,,,,
Bronx River,Long Island Sound,December,MW,4MW,New,Places you can go,,,,,,,,,,
Long Island Sound,Atlantic Ocean,December,MW,4MW,New,Places you can go,,,,,,,,,,
Bronx River,Bronx,December,MW,4MW,New,Places you can go,,,,,,,,,,
Bronx,NYC,December,MW,4MW,New,Places you can go,,,,,,,,,,
NYC,New York,December,MW,4MW,New,Places you can go,,,,,,,,,,
New York,United States,December,MW,4MW,New,Places you can go,,,,,,,,,,
Bronx River,Hunts Point,December,MW,6MW,Returner,Places you can go,,,,,,,,,,
Hunts Point,Chopped cheese,December,MW,6MW,Returner,Culture,,Positive,,,,,,,,
Hunts Point,Basketball,December,MW,6MW,Returner,Fun,,Positive,,,,,,,,
Hunts Point,Funny,December,MW,6MW,Returner,Fun,,Positive,,,,,,,,
Funny ,People outside,December,MW,6MW,Returner,Fun,,Positive,,,,,,,,
Bronx River,Water,December,MW,6MW,Returner,Water,,,,,,,,,,
Water,Boats,December,MW,6MW,Returner,Boats,,,,,,,,,,
Water,Fish,December,MW,6MW,Returner,Animals,,,,,,,,,,
Boats,Blue-Crab,December,MW,6MW,Returner,Animals,,,,,,,,,,
Blue crab,RTB,December,MW,6MW,Returner,Animals,,,,,,,,,,
RTB,Friends,December,MW,6MW,Returner,Friends,,Positive,,,,,,,,
Bronx River,Sludgy waters,December,MW,7MW,New,Pollution,,Negative,,,,,,,,
Sludgy waters,Pollution,December,MW,7MW,New,Pollution,,Negative,,,,,,,,
Sludgy waters,Forgotten species,December,MW,7MW,New,"""Forgotten species""",,Negative,,,,,,,,
Bronx River,Marine wildlife,December,MW,7MW,New,Environmental action,,Positive,,,,,,,,
Bronx River,Cleaning,December,MW,1MW,Returner,Environmental action,,Positive,,,,,,,,
Cleaning,trash pickup,December,MW,1MW,Returner,Environmental action,,Positive,,,,,,,,
Cleaning,wetland boxes,December,MW,1MW,Returner,Environmental action,,Positive,,,,,,,,
Cleaning,Water quality,December,MW,1MW,Returner,Environmental action,,Positive,,,,,,,,
Bronx River,Birds,December,MW,1MW,Returner,Animals,Identified,,,,,,,,,
Birds,Swans,December,MW,1MW,Returner,Animals,Identified,,,,,,,,,
Birds,Great blue,December,MW,1MW,Returner,Animals,Identified,,,,,,,,,
Birds,Yellow night herons,December,MW,1MW,Returner,Animals,Identified,,,,,,,,,
Bronx River,Fishing,December,MW,1MW,Returner,Activities,,,,,,,,,,
Fishing,Shrimp,December,MW,1MW,Returner,Animals,,,,,,,,,,
Fishing,Eels,December,MW,1MW,Returner,Animals,,,,,,,,,,
Fishing,Sea horses,December,MW,1MW,Returner,Animals,,,,,,,,,,
Fishing,Blue crab,December,MW,1MW,Returner,Animals,,,,,,,,,,
Fishing,Plantains,December,MW,1MW,Returner,Animals,,,,,,,,,,
Bronx River,Trips,December,MW,1MW,Returner,Activities,,Positive,,,,,,,,
Trips,Meeting wildlife,December,MW,1MW,Returner,Activities,,Positive,,,,,,,,
Trips,Frost Valley,December,MW,1MW,Returner,Activities,,Positive,,,,,,,,
Trips,Camping,December,MW,1MW,Returner,Activities,,Positive,,,,,,,,
Trips,Weeklong,December,MW,1MW,Returner,Activities,,Positive,,,,,,,,
Trips,Bear,December,MW,1MW,Returner,Activities,Animals,,,,,,,,,
Bronx River,Hiking,December,MW,1MW,Returner,Activities,,,,,,,,,,
Hiking,Falling,December,MW,1MW,Returner,Activities,,,,,,,,,,
Hiking,Climbing,December,MW,1MW,Returner,Activities,,,,,,,,,,
Hiking,Looking at different trees,December,MW,1MW,Returner,Activities,,,,,,,,,,
Bronx River,Rowing,December,MW,3MW,Returner,Rowing,,,,,,,,,,
Bronx River,Trips,December,MW,3MW,Returner,Activities,,Positive,,,,,,,,
Trips,Hiking,December,MW,3MW,Returner,Activities,,,,,,,,,,
Bronx River,Music,December,MW,3MW,Returner,Culture,,,,,,,,,,
Bronx River,Food,December,MW,3MW,Returner,Culture,,,,,,,,,,
Trips,Sleepover,December,MW,3MW,Returner,Activities,,Positive,,,,,,,,
Bronx River,Birds,December,MW,3MW,Returner,Animals,,,,,,,,,,
Bronx River,Plants,December,MW,3MW,Returner,Plants,,,,,,,,,,
Bronx River,Water quality,December,MW,3MW,Returner,Environmental action,,,,,,,,,,
Water quality,Performance levels,December,MW,3MW,Returner,Skills,,,,,,,,,,
Bronx River,[],December,MW,3MW,Returner,,,,,,,,,,,
[] ,Friends,December,MW,3MW,Returner,Friendship,,Positive,,,,,,,,
Friends,Bonds,December,MW,3MW,Returner,Friendship,,Positive,,,,,,,,
Bronx River,Family,December,MW,3MW,Returner,Friendship,,Positive,,,,,,,,
Family,Friends,December,MW,3MW,Returner,Friendship,,Positive,,,,,,,,
Bronx River,Emotions,December,MW,3MW,Returner,Emotions,,,,,,,,,,
Emotions,Feelings/mood,December,MW,3MW,Returner,Emotions,,Blend,,,,,,,,
Bronx River,Games,December,MW,3MW,Returner,Activities,,,,,,,,,,
Bronx River,Rowing,December,MW,8MW,Returner,Rowing,,,,,,,,,,
Rowing,Crying,December,MW,8MW,Returner,Rowing,,Negative,,,,,,,,
Bronx River,Trips,December,MW,8MW,Returner,Activities,,Positive,,,,,,,,
Bronx River,RTB,December,MW,8MW,Returner,RTB,,,,,,,,,,
Bronx River,The River,December,MW,8MW,Returner,The River,,,,,,,,,,
Bronx River,Birds,December,MW,8MW,Returner,Animals,,,,,,,,,,
Bronx River,Mouctar getting on my nerves,December,MW,8MW,Returner,Friends,,Negative,,,,,,,,
Bronx River,Family,September,TTh,9TTh,Returner,Friends,,,,,,,,,,
Bronx River,Water quality,September,TTh,9TTh,Returner,Environmental action,,,,,,,,,,
Bronx River,Birding,September,TTh,9TTh,Returner,Activities,,,,,,,,,,
Bronx River,Fishing,September,TTh,9TTh,Returner,Activities,,,,,,,,,,
Bronx River,Rowing,September,TTh,9TTh,Returner,Rowing,,,,,,,,,,
Family,PA1,September,TTh,9TTh,Returner,People,Staff,Positive,,,,,,,,
Family,PA2,September,TTh,9TTh,Returner,People,Staff,Positive,,,,,,,,
Family,PA3,September,TTh,9TTh,Returner,People,Staff,Positive,,,,,,,,
Family,PA4,September,TTh,9TTh,Returner,People,Staff,Positive,,,,,,,,
Family,SummerStudent1,September,TTh,9TTh,Returner,People,Friends,Positive,,,,,,,,
Family,SummerStudent2,September,TTh,9TTh,Returner,People,Friends,Positive,,,,,,,,
Family,SummerStudent3,September,TTh,9TTh,Returner,People,Friends,Positive,,,,,,,,
Family,SummerStudent4,September,TTh,9TTh,Returner,People,Friends,Positive,,,,,,,,
Family,SummerStudent5,September,TTh,9TTh,Returner,People,Friends,Positive,,,,,,,,
Family,SummerStudent6,September,TTh,9TTh,Returner,People,Friends,Positive,,,,,,,,
Family,SummerStudent7,September,TTh,9TTh,Returner,People,Friends,Positive,,,,,,,,
Family,SummerStudent8,September,TTh,9TTh,Returner,People,Friends,Positive,,,,,,,,
Birding,Mallard,September,TTh,9TTh,Returner,Animals,Birds,,,,,,,,,
Birding,Canada goose,September,TTh,9TTh,Returner,Animals,Birds,,,,,,,,,
Birding,Great egret,September,TTh,9TTh,Returner,Animals,Birds,,,,,,,,,
Great egret,Snowy egret,September,TTh,9TTh,Returner,Animals,Birds,,,,,,,,,
Birding,Black crowned night heron,September,TTh,9TTh,Returner,Animals,Birds,,,,,,,,,
Black crowned night heron,Yellow night herons,September,TTh,9TTh,Returner,Animals,Birds,,,,,,,,,
Fishing,Shiners,September,TTh,9TTh,Returner,Animals,Fish,,,,,,,,,
Fishing,Crabs,September,TTh,9TTh,Returner,Animals,Fish,,,,,,,,,
Fishing,Jellyfish,September,TTh,9TTh,Returner,Animals,Fish,,,,,,,,,
Rowing,Captain,September,TTh,9TTh,Returner,Rowing,Skills,,,,,,,,,
Rowing,Pace,September,TTh,9TTh,Returner,Rowing,Skills,,,,,,,,,
Rowing,Power,September,TTh,9TTh,Returner,Rowing,Skills,,,,,,,,,
Rowing,Boat cleaning (not fun),September,TTh,9TTh,Returner,Chores,,Negative,,,,,,,,
Rowing,Tide,September,TTh,9TTh,Returner,Tides,,,,,,,,,,
Rowing,High tide,September,TTh,9TTh,Returner,Tides,,,,,,,,,,
Rowing,Low tide,September,TTh,9TTh,Returner,Tides,,,,,,,,,,
Low tide,Muddy,September,TTh,9TTh,Returner,Mud,,,,,,,,,,
Water quality,Turbidity,September,TTh,9TTh,Returner,Water quality parameters,,,,,,,,,,
Water quality,Nitrates,September,TTh,9TTh,Returner,Water quality parameters,,,,,,,,,,
Water quality,Dissolved Oxygen,September,TTh,9TTh,Returner,Water quality parameters,,,,,,,,,,
Water quality,Salinity,September,TTh,9TTh,Returner,Water quality parameters,,,,,,,,,,
Water quality,Temperature,September,TTh,9TTh,Returner,Water quality parameters,,,,,,,,,,
Water quality,pH,September,TTh,9TTh,Returner,Water quality parameters,,,,,,,,,,
Bronx River,Animals,September,TTh,10TTh,Returner,Animals,,,,,,,,,,
Bronx River,Water,September,TTh,10TTh,Returner,Water,,,,,,,,,,
Bronx River,Trash,September,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Bronx River,Plants,September,TTh,10TTh,Returner,Plants,,,,,,,,,,
Animals,Shrimp,September,TTh,10TTh,Returner,Animals,,,,,,,,,,
Animals,Fish,September,TTh,10TTh,Returner,Animals,,,,,,,,,,
Animals,Crabs,September,TTh,10TTh,Returner,Animals,,,,,,,,,,
Animals,Birds,September,TTh,10TTh,Returner,Animals,,,,,,,,,,
Trash,Bottles,September,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Trash,Paper,September,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Trash,Plastic bags,September,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Trash,Clothes,September,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Clothes,Shoes,September,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Clothes,Socks,September,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Plants,Seaweed,September,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Plants,Trees,September,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Water,High tide,September,TTh,10TTh,Returner,Tides,,,,,,,,,,
Water,Low tide,September,TTh,10TTh,Returner,Tides,,,,,,,,,,
Bronx River,Boats,September,TTh,11Tth,New,Boats,,,,,,,,,,
Bronx River,Do people enjoy the bronx River?,September,TTh,11Tth,New,Questions,,,,,,,,,,
Bronx River,How long has it been around?,September,TTh,11Tth,New,Questions,,,,,,,,,,
Bronx River,Community,September,TTh,11Tth,New,Community,,,,,,,,,,
Bronx River,Not sanitized,September,TTh,11Tth,New,Pollution,,,,,,,,,,
Bronx River,Plants,September,TTh,11Tth,New,Plants,,,,,,,,,,
Bronx River,Animals,September,TTh,11Tth,New,Animals,,,,,,,,,,
Animals,Birds,September,TTh,11Tth,New,Animals,,,,,,,,,,
Animals,Fishes,September,TTh,11Tth,New,Animals,,,,,,,,,,
Bronx River,Do people outside the Bronx know about it?,September,TTh,11Tth,New,Outsiders thoughts,,,,,,,,,,
Bronx River,Birds,September,TTh,12TTh,New,Animals,,,,,,,,,,
Bronx River,Water,September,TTh,12TTh,New,Water,,,,,,,,,,
Bronx River,Plants,September,TTh,12TTh,New,Plants,,,,,,,,,,
Bronx River,Big Space,September,TTh,12TTh,New,"""Big space""",,,,,,,,,,
Birds,People,September,TTh,12TTh,New,People,,,,,,,,,,
People,Park,September,TTh,12TTh,New,Places you can go,,,,,,,,,,
Water,Low tide,September,TTh,12TTh,New,Tides,,,,,,,,,,
Water,High tide,September,TTh,12TTh,New,Tides,,,,,,,,,,
Water,Fishes,September,TTh,12TTh,New,Animals,,,,,,,,,,
Water,Boats,September,TTh,12TTh,New,Boats,,,,,,,,,,
Fishes,Crabs,September,TTh,12TTh,New,Animals,,,,,,,,,,
Boats,Kayaking,September,TTh,12TTh,New,Activities,,,,,,,,,,
Plants,Flowers,September,TTh,12TTh,New,Plants,,,,,,,,,,
Plants,Sun,September,TTh,12TTh,New,Plants,,,,,,,,,,
Flowers,Trees,September,TTh,12TTh,New,Plants,,,,,,,,,,
Big space,Ghetto,September,TTh,12TTh,New,Ghetto,,Negative,,,,,,,,
Big space,Dirty,September,TTh,12TTh,New,Pollution,,Negative,,,,,,,,
Bronx River,People,September,TTh,13TTh,Returner,People,,,,,,,,,,
Bronx River,Water,September,TTh,13TTh,Returner,Water,,,,,,,,,,
Bronx River,Boats,September,TTh,13TTh,Returner,Boats,,,,,,,,,,
Bronx River,Dirty,September,TTh,13TTh,Returner,Pollution,,,,,,,,,,
Bronx River,Crabs,September,TTh,13TTh,Returner,Animals,,,,,,,,,,
Bronx River,Birds,September,TTh,13TTh,Returner,Animals,,,,,,,,,,
Bronx River,Fish,September,TTh,13TTh,Returner,Animals,,,,,,,,,,
Bronx River,Random things,September,TTh,13TTh,Returner,Pollution,,,,,,,,,,
Bronx River,Beautiful landscape,September,TTh,13TTh,Returner,Beauty,,,,,,,,,,
Bronx River,Animals,September,TTh,14TTh,Returner,Animals,,,,,,,,,,
Bronx River,Rocks,September,TTh,14TTh,Returner,Things in the river,,,,,,,,,,
Bronx River,Water quality,September,TTh,14TTh,Returner,Water quality,,,,,,,,,,
Bronx River,Dock,September,TTh,14TTh,Returner,Things in the river,,,,,,,,,,
Bronx River,Mudflat,September,TTh,14TTh,Returner,Mud,,,,,,,,,,
Animals,Birds,September,TTh,14TTh,Returner,Animals,,,,,,,,,,
Animals,Crabs,September,TTh,14TTh,Returner,Animals,,,,,,,,,,
Animals,Fish,September,TTh,14TTh,Returner,Animals,,,,,,,,,,
Bronx River,Mud,September,TTh,15TTh,Returner,Mud,,,,,,,,,,
Bronx River,Crabs,September,TTh,15TTh,Returner,Animals,,,,,,,,,,
Bronx River,Plants,September,TTh,15TTh,Returner,Plants,,,,,,,,,,
Bronx River,Fish,September,TTh,15TTh,Returner,Animals,,,,,,,,,,
Mud,My shoes getting dirty,September,TTh,15TTh,Returner,Mud,,Negative,,,,,,,,
Bronx River,Crabs,September,TTh,16TTh,Returner,Animals,,,,,,,,,,
Bronx River,Fish,September,TTh,16TTh,Returner,Animals,,,,,,,,,,
Bronx River,Boats,September,TTh,16TTh,Returner,Boats,,,,,,,,,,
Bronx River,Plants,September,TTh,16TTh,Returner,Plants,,,,,,,,,,
Bronx River,People,September,TTh,16TTh,Returner,People,,,,,,,,,,
Bronx River,Boats,September,TTh,16TTh,Returner,Boats,,,,,,,,,,
Bronx River,Love,December,TTh,13TTh,Returner,Love,,,,,,,,,,
Bronx River,Animals,December,TTh,13TTh,Returner,Animals,,,,,,,,,,
Bronx River,Family and friends,December,TTh,13TTh,Returner,Friends,,,,,,,,,,
Bronx River,Plants,December,TTh,14TTh,Returner,Plants,,,,,,,,,,
Bronx River,Technical skills,December,TTh,14TTh,Returner,Skills,,,,,,,,,,
Bronx River,Dock,December,TTh,14TTh,Returner,Things in the river,,,,,,,,,,
Bronx River,Boats,December,TTh,14TTh,Returner,Boats,,,,,,,,,,
Bronx River,High tide,December,TTh,14TTh,Returner,Tides,,,,,,,,,,
Bronx River,Low tide,December,TTh,14TTh,Returner,Tides,,,,,,,,,,
Bronx River,Birds,December,TTh,14TTh,Returner,Animals,,,,,,,,,,
Plants,Opposite,December,TTh,14TTh,Returner,Plants,,,,,,,,,,
Plants,Alternate,December,TTh,14TTh,Returner,Plants,,,,,,,,,,
Bronx River,Dirt,December,TTh,16TTh,Returner,Mud,,,,,,,,,,
Bronx River,Mud,December,TTh,16TTh,Returner,Mud,,,,,,,,,,
Bronx River,Fishes,December,TTh,16TTh,Returner,Animals,,,,,,,,,,
Bronx River,Boats,December,TTh,16TTh,Returner,Boats,,,,,,,,,,
Bronx River,Birds,December,TTh,16TTh,Returner,Animals,,,,,,,,,,
Bronx River,Oysters,December,TTh,16TTh,Returner,Animals,,,,,,,,,,
Bronx River,Plants,December,TTh,16TTh,Returner,Plants,,,,,,,,,,
Bronx River,Water,December,TTh,16TTh,Returner,Water,,,,,,,,,,
Bronx River,Pollution,December,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Bronx River,Animals,December,TTh,10TTh,Returner,Animals,,,,,,,,,,
Bronx River,RTB,December,TTh,10TTh,Returner,RTB,,,,,,,,,,
Bronx River,Boats,December,TTh,10TTh,Returner,Boats,,,,,,,,,,
Bronx River,Water,December,TTh,10TTh,Returner,Water,,,,,,,,,,
Bronx River,Plants,December,TTh,10TTh,Returner,Plants,,,,,,,,,,
Bronx River,Park,December,TTh,10TTh,Returner,Park,,,,,,,,,,
Pollution,Bottles,December,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Pollution,Bags,December,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Pollution,Shoes,December,TTh,10TTh,Returner,Pollution,,,,,,,,,,
Animals,Birds,December,TTh,10TTh,Returner,Animals,,,,,,,,,,
RTB,Staff,December,TTh,10TTh,Returner,People,,,,,,,,,,
RTB,Students,December,TTh,10TTh,Returner,People,,,,,,,,,,
RTB,Workers,December,TTh,10TTh,Returner,People,,,,,,,,,,
RTB,ESP,December,TTh,10TTh,Returner,People,,,,,,,,,,
RTB,Sailing,December,TTh,10TTh,Returner,People,,,,,,,,,,
RTB,Boatbuilding,December,TTh,10TTh,Returner,People,,,,,,,,,,
Plants,Trees,December,TTh,10TTh,Returner,Plants,,,,,,,,,,
Plants,Seaweed,December,TTh,10TTh,Returner,Plants,,,,,,,,,,
RTB ,Activities,December,TTh,10TTh,Returner,Activities,,,,,,,,,,
Water,Creatures,December,TTh,10TTh,Returner,Animals,,,,,,,,,,
Water,Mud,December,TTh,10TTh,Returner,Mud,,,,,,,,,,
Water,Rocks,December,TTh,10TTh,Returner,Things in the river,,,,,,,,,,
Creatures,Crabs,December,TTh,10TTh,Returner,Animals,,,,,,,,,,
Creatures,Shrimp,December,TTh,10TTh,Returner,Animals,,,,,,,,,,
Creatures,Fish,December,TTh,10TTh,Returner,Animals,,,,,,,,,,
Bronx River,Birds,December,MW,2MW,New,Animals,,,,,,,,,,
Bronx River,Trees,December,MW,2MW,New,Plants,,,,,,,,,,
Bronx River,Fish,December,MW,2MW,New,Animals,,,,,,,,,,
Bronx River,Games,December,MW,2MW,New,Activities,,,,,,,,,,
Bronx River,Christmas tree,December,MW,2MW,New,Activities,,,,,,,,,,
Bronx River,Water,December,MW,2MW,New,Water,,,,,,,,,,
Birds,Duck,December,MW,2MW,New,Animals,,,,,,,,,,
Duck,Meat,December,MW,2MW,New,Animals,,,,,,,,,,
Birds,Heron,December,MW,2MW,New,Animals,,,,,,,,,,
Trees,Blossoms,December,MW,2MW,New,Plants,,,,,,,,,,
Blossoms,Pink,December,MW,2MW,New,Plants,,,,,,,,,,
Water,Sewers,December,MW,2MW,New,Pollution,,,,,,,,,,
Blossoms,May,December,MW,2MW,New,Plants,,,,,,,,,,
May,My birthday,December,MW,2MW,New,Birthday,,,,,,,,,,
Water,Water quality,December,MW,2MW,New,Water quality,,,,,,,,,,
Water quality,Science,December,MW,2MW,New,Water quality,,,,,,,,,,
Water,Pool,December,MW,2MW,New,Places you can go,,,,,,,,,,
Christmas tree,Decorations,December,MW,2MW,New,Activities,,,,,,,,,,
Fish,Eels,December,MW,2MW,New,Animals,,,,,,,,,,
Fish,Sharks,December,MW,2MW,New,Animals,,,,,,,,,,
Sharks,Boat flipping,December,MW,2MW,New,Fear,,,,,,,,,,
Games,Mines,December,MW,2MW,New,Activities,,,,,,,,,,
Games,"""Can I borrow your cat?""",December,MW,2MW,New,Activities,,,,,,,,,,
